mentor_code,mentor_name,mentee_code,mentee_name,team,overlap_years,mentor_role_abbr
399,Fisher DeBerry,218,Chuck Petersen,Air Force,2,HC
399,Fisher DeBerry,949,Richard Bell,Air Force,2,HC
399,Fisher DeBerry,338,Dick Enga,Air Force,2,HC
399,Fisher DeBerry,69,Blane Morgan,Air Force,2,HC
399,Fisher DeBerry,906,Pete Hurt,Air Force,2,HC
399,Fisher DeBerry,1135,Tom Miller,Air Force,2,HC
399,Fisher DeBerry,983,Ron Burton,Air Force,2,HC
399,Fisher DeBerry,317,Dean Campbell,Air Force,2,HC
399,Fisher DeBerry,123,Brian Knorr,Air Force,2,HC
218,Chuck Petersen,338,Dick Enga,Air Force,2,OC
218,Chuck Petersen,69,Blane Morgan,Air Force,2,OC
218,Chuck Petersen,906,Pete Hurt,Air Force,2,OC
218,Chuck Petersen,1135,Tom Miller,Air Force,2,OC
949,Richard Bell,1135,Tom Miller,Air Force,2,DC
949,Richard Bell,983,Ron Burton,Air Force,2,DC
949,Richard Bell,317,Dean Campbell,Air Force,2,DC
949,Richard Bell,123,Brian Knorr,Air Force,2,DC
69,Blane Morgan,1257,Jemal Singleton,Air Force,5,OC
69,Blane Morgan,1460,Patrick Covington,Air Force,3,OC
69,Blane Morgan,1348,Ben Miller,Air Force,8,OC
69,Blane Morgan,505,Jake Moreland,Air Force,3,OC
69,Blane Morgan,2047,Jake Campbell,Air Force,3,OC
123,Brian Knorr,1925,John Rudzinski,Air Force,4,DC
123,Brian Knorr,995,Ron Vanderlinden,Air Force,2,DC
123,Brian Knorr,2808,Chip Vaughn,Air Force,2,DC
123,Brian Knorr,2778,Alex Means,Air Force,8,DC
123,Brian Knorr,1849,Nick Toth,Air Force,4,DC
123,Brian Knorr,2835,E.J. Whitlow,Air Force,2,DC
123,Brian Knorr,3414,Charlie Jackson,Air Force,4,DC
123,Brian Knorr,3416,Ken Lamendola,Air Force,4,DC
123,Brian Knorr,3417,Brett Skene,Air Force,4,DC
1257,Jemal Singleton,69,Blane Morgan,Air Force,5,RG
1257,Jemal Singleton,1455,Mike Thiessen,Air Force,4,RG
1257,Jemal Singleton,1460,Patrick Covington,Air Force,3,RG
1257,Jemal Singleton,1369,Clay Hendrix,Air Force,4,RG
1257,Jemal Singleton,1348,Ben Miller,Air Force,4,RG
1097,Tim DeRuyter,983,Ron Burton,Air Force,3,DC
1097,Tim DeRuyter,1348,Ben Miller,Air Force,3,DC
1097,Tim DeRuyter,1446,Matt Weikert,Air Force,3,DC
1496,Troy Calhoun,1100,Tim Horton,Air Force,5,HC
1496,Troy Calhoun,69,Blane Morgan,Air Force,8,HC
1496,Troy Calhoun,983,Ron Burton,Air Force,6,HC
1496,Troy Calhoun,123,Brian Knorr,Air Force,8,HC
1496,Troy Calhoun,1257,Jemal Singleton,Air Force,4,HC
1496,Troy Calhoun,1097,Tim DeRuyter,Air Force,3,HC
1496,Troy Calhoun,1455,Mike Thiessen,Air Force,19,HC
1496,Troy Calhoun,1460,Patrick Covington,Air Force,3,HC
1496,Troy Calhoun,1369,Clay Hendrix,Air Force,10,HC
1496,Troy Calhoun,1348,Ben Miller,Air Force,14,HC
1496,Troy Calhoun,1363,Charlton Warren,Air Force,7,HC
1496,Troy Calhoun,1446,Matt Weikert,Air Force,12,HC
1496,Troy Calhoun,1779,Brad White,Air Force,2,HC
1496,Troy Calhoun,1925,John Rudzinski,Air Force,6,HC
1496,Troy Calhoun,1061,Steve Russ,Air Force,6,HC
1496,Troy Calhoun,505,Jake Moreland,Air Force,3,HC
1496,Troy Calhoun,2047,Jake Campbell,Air Force,14,HC
1496,Troy Calhoun,995,Ron Vanderlinden,Air Force,6,HC
1496,Troy Calhoun,1096,Tim Cross,Air Force,5,HC
1496,Troy Calhoun,1045,Steed Lobotzke,Air Force,11,HC
1496,Troy Calhoun,2494,Ross Weaver,Air Force,2,HC
1496,Troy Calhoun,1969,Taylor Stubblefield,Air Force,3,HC
1496,Troy Calhoun,2720,Jordan Eason,Air Force,4,HC
1496,Troy Calhoun,2808,Chip Vaughn,Air Force,2,HC
1496,Troy Calhoun,2778,Alex Means,Air Force,8,HC
1496,Troy Calhoun,2964,Ari Confesor,Air Force,4,HC
1496,Troy Calhoun,2684,Curome Cox,Air Force,2,HC
1496,Troy Calhoun,2789,Bill Sheridan,Air Force,2,HC
1496,Troy Calhoun,2995,Delbert Cowsette,Air Force,2,HC
1496,Troy Calhoun,3118,Andre Morris,Air Force,2,HC
1496,Troy Calhoun,1849,Nick Toth,Air Force,4,HC
1496,Troy Calhoun,2835,E.J. Whitlow,Air Force,2,HC
1496,Troy Calhoun,3414,Charlie Jackson,Air Force,4,HC
1496,Troy Calhoun,3415,Marc Bacote,Air Force,4,HC
1496,Troy Calhoun,3416,Ken Lamendola,Air Force,4,HC
1496,Troy Calhoun,3417,Brett Skene,Air Force,4,HC
1455,Mike Thiessen,1100,Tim Horton,Air Force,5,OC
1455,Mike Thiessen,1257,Jemal Singleton,Air Force,4,OC
1455,Mike Thiessen,1348,Ben Miller,Air Force,14,OC
1455,Mike Thiessen,505,Jake Moreland,Air Force,3,OC
1455,Mike Thiessen,2047,Jake Campbell,Air Force,14,OC
1455,Mike Thiessen,1045,Steed Lobotzke,Air Force,11,OC
1455,Mike Thiessen,2494,Ross Weaver,Air Force,2,OC
1455,Mike Thiessen,1969,Taylor Stubblefield,Air Force,3,OC
1455,Mike Thiessen,2720,Jordan Eason,Air Force,4,OC
1455,Mike Thiessen,2964,Ari Confesor,Air Force,4,OC
1455,Mike Thiessen,3415,Marc Bacote,Air Force,4,OC
1455,Mike Thiessen,3417,Brett Skene,Air Force,4,OC
1369,Clay Hendrix,1257,Jemal Singleton,Air Force,4,OC
1369,Clay Hendrix,1460,Patrick Covington,Air Force,3,OC
1369,Clay Hendrix,1348,Ben Miller,Air Force,10,OC
1369,Clay Hendrix,505,Jake Moreland,Air Force,3,OC
1369,Clay Hendrix,2047,Jake Campbell,Air Force,5,OC
1363,Charlton Warren,983,Ron Burton,Air Force,6,DC
1363,Charlton Warren,1446,Matt Weikert,Air Force,7,DC
1363,Charlton Warren,1779,Brad White,Air Force,2,DC
1363,Charlton Warren,1925,John Rudzinski,Air Force,3,DC
1925,John Rudzinski,123,Brian Knorr,Air Force,4,DC
1925,John Rudzinski,995,Ron Vanderlinden,Air Force,3,DC
1925,John Rudzinski,2808,Chip Vaughn,Air Force,2,DC
1925,John Rudzinski,2778,Alex Means,Air Force,4,DC
1925,John Rudzinski,2684,Curome Cox,Air Force,2,DC
1925,John Rudzinski,2789,Bill Sheridan,Air Force,2,DC
1925,John Rudzinski,2995,Delbert Cowsette,Air Force,2,DC
1925,John Rudzinski,3118,Andre Morris,Air Force,2,DC
1061,Steve Russ,1446,Matt Weikert,Air Force,6,DC
1061,Steve Russ,1925,John Rudzinski,Air Force,5,DC
1061,Steve Russ,995,Ron Vanderlinden,Air Force,4,DC
1061,Steve Russ,1096,Tim Cross,Air Force,4,DC
498,J.D. Brookhart,579,Jim Pry,Akron,2,HC
498,J.D. Brookhart,566,Jim Fleming,Akron,5,HC
498,J.D. Brookhart,116,Brian Callahan,Akron,5,HC
